#Taken from https://docs.google.com/spreadsheets/d/1qTfG7ubb26ajoTI3u7-JuJpcHY-57lG7AKYsuUmTfIg/edit?usp=sharing on 6/24/26
#Detector Name,Location,GeD number,A,B,C,D,E,F,G (all in cm)
366-2,Q0_L0,0,10.082,9.593,7.988,8.034,1.59,0.599,0.33
358-2,Q0_L1,1,10.05,9.45,8.0,8.0,1.55,0.59,0.26
432-1,Q0_L2,2,10.12,9.65,8.06,8.07,1.59,0.65,0.32
61617,Q0_L3,3,9.98,9.6,8.06,8.05,1.568,0.573,0.398          
542-1,Q1_L0,4,9.984,9.503,7.883,8.012,1.609,0.609,0.332
358-3,Q1_L1,5,10.12,9.6,8.06,8.06,1.62,0.72,0.33
434-1,Q1_L2,6,10.077,9.597,7.96,8.02,1.576,0.6,0.319
406-1,Q1_L3,7,10,9.6,8.0,8.0,1.5,0.6,0.3
542-2,Q2_L0,8,10.11,9.338,7.997,8.06,1.611,0.622,0.344
407-3,Q2_L1,9,10.075,9.639,7.9999,8.06,1.60,0.612,0.25
379-1,Q2_L2,10,10.12,9.6,8.04,8.04,1.578,0.605,0.282
358-1,Q2_L3,11,10.04,9.54,7.99,7.99,1.55,0.59,0.25
434-2,Q3_L0,12,10.13,9.65,8.04,8.12,1.64,0.632,0.36
361-1,Q3_L1,13,10.01,9.57,8.02,8.01,1.552,0.588,0.25
61618,Q3_L2,14,9.95,9.54,7.99,8.01,1.52,0.56,0.26
406-3,Q3_L3,15,10.09,9.621,8.007,8.057,1.577,0.615,0.33
